State,program,ID,.,var,;,:,INTEGER_TYPE,BOOLEAN_TYPE,begin,end,:=,read,write,if,then,else,while,do,+,-,*,INTEGER_LIT,TRUE,FALSE,>,>=,=,<=,<,$,PROGRAM,BLOCK,BLOCK`,VAR_DEC_SEC,VAR_DEC_SEC`,VAR_DEC,VAR_DEC`,TYPE,COMPOUND_STATEMENT,STMT`,STMT,SIMP_STMT,ASSIGN_STMT,READ_STMT,WRITE_STMT,STR_STMT,IF_STMT,WHILE_STMT,EXPR,ARITH_EXPR,TERM,FACTOR,LIT,BOOLEAN_LIT,BOOL_EXPR
46,,,,,r35,,,,,r35,,,,,r35,r35,,r35,r35,r35,s67,,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,r37,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,r38,,,,,r38,,,,,r38,r38,,r38,r38,r38,r38,,,,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,r39,,,,,r39,,,,,r39,r39,,r39,r39,r39,r39,,,,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,r8,r8,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,r11,r11,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,r12,r12,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,8,,,,,,,,,,,,,,,,,,
55,,,,,r15,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,r21,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,r31,,,,,r31,,,,,,r31,,,s65,s66,,,,,s60,s61,s62,s63,s64,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,r32,,,,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,s24,,,,,,,s6,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,,23,,70,16,18,19,20,17,21,22,,,,,,,
60,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,46,47,,,
61,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,46,47,,,
62,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,46,47,,,
63,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,46,47,,,
64,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,46,47,,,
65,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,47,,,
66,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,47,,,
67,,s48,,,,,,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,
68,,s24,,,,,,,s6,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,,23,,79,16,18,19,20,17,21,22,,,,,,,
69,,,,r7,r7,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
